px,py
0.0,0.0
0.0003,0.0
0.0008,0.0
0.0016,0.0
0.0025,0.0
0.0036,0.0
0.0049,0.0
0.0064,0.0
0.008,0.0
0.0098,0.0
0.0118,0.0
0.0139,0.0
0.0161,0.0
0.0185,0.0
0.021,0.0
0.0236,0.0
0.0263,0.0
0.0292,0.0
0.0321,0.0
0.0352,0.0
0.0383,0.0
0.0415,0.0
0.0448,0.0
0.0482,0.0
0.0517,0.0
0.0552,0.0
0.0588,0.0
0.0625,0.0
0.0662,0.0
0.07,0.0
0.0739,0.0
0.0778,0.0
0.0817,0.0
0.0857,0.0
0.0898,0.0
0.0939,0.0
0.098,0.0
0.1022,0.0
0.1064,0.0
0.1107,0.0
0.115,0.0
0.1193,0.0
0.1237,0.0
0.1281,0.0
0.1325,0.0
0.1369,0.0
0.1414,0.0
0.1459,0.0
0.1504,0.0
0.155,0.0
0.1595,0.0
0.1641,0.0
0.1687,0.0
0.1733,0.0
0.17800000000000002,0.0
0.1827,0.0
0.1873,0.0
0.192,0.0
0.1967,0.0
0.2014,0.0
0.2062,0.0
0.2109,0.0
0.2157,0.0
0.2205,0.0
0.2252,0.0
0.23,0.0
0.2348,0.0
0.2396,0.0
0.2445,0.0
0.2493,0.0
0.2541,0.0
0.259,0.0
0.2638,0.0
0.2687,0.0
0.2735,0.0
0.2784,0.0
0.2833,0.0
0.2882,0.0
0.2931,0.0
0.298,0.0
0.3029,0.0
0.3078,0.0
0.3127,0.0
0.3176,0.0
0.3225,0.0
0.3274,0.0
0.3324,0.0
0.3373,0.0
0.3422,0.0
0.3471,0.0
0.3521,0.0
0.35700000000000004,0.0
0.36200000000000004,0.0
0.3669,0.0
0.3719,0.0
0.3768,0.0
0.3818,0.0
0.3867,0.0
0.3917,0.0
0.3966,0.0
0.4016,0.0
0.4066,0.0
0.4115,0.0
0.4165,0.0
0.4215,0.0
0.4264,0.0
0.4314,0.0
0.4364,0.0
0.4414,0.0
0.4463,0.0
0.4513,0.0
0.4563,0.0
0.4613,0.0
0.4663,0.0
0.4712,0.0
0.4762,0.0
0.4812,0.0
0.4862,0.0
0.4912,0.0
0.4961,0.0
0.5011,0.0
0.5061,0.0
0.5111,0.0
0.5161,0.0
0.5211,0.0
0.5261,0.0
0.5311,0.0
0.5361,0.0
0.541,0.0
0.546,0.0
0.551,0.0
0.556,0.0
0.561,0.0
0.5660000000000001,0.0
0.5710000000000001,0.0
0.5760000000000001,0.0
0.581,0.0
0.591,0.0
0.596,0.0
0.601,0.0
0.606,0.0
0.6109,0.0
0.6159,0.0
0.6209,0.0
0.6259,0.0
0.6309,0.0
0.6359,0.0
0.6409,0.0
0.6459,0.0
0.6509,0.0
0.6559,0.0
0.6609,0.0
0.6659,0.0
0.6709,0.0
0.6759,0.0
0.6809,0.0
0.6859,0.0
0.6909,0.0
0.6959,0.0
0.7009,0.0
0.7059,0.0
0.7109,0.0
0.7159,0.0
0.7209,0.0
0.7259,0.0
0.7309,0.0
0.7359,0.0
0.7409,0.0
0.7459,0.0
0.7509,0.0
0.7559,0.0
0.7609,0.0
0.7659,0.0
0.7709,0.0
0.7759,0.0
0.7809,0.0
0.7859,0.0
0.7909,0.0
0.7959,0.0
0.8009,0.0
0.8059,0.0
0.8109,0.0
0.8159,0.0
0.8209,0.0
0.8259,0.0
0.8309,0.0
0.8359,0.0
0.8409,0.0
0.8459,0.0
0.8509,0.0
0.8559,0.0
0.8609,0.0
0.8709,0.0
0.8759,0.0
0.8809,0.0
0.8859,0.0
0.8959,0.0
0.9009,0.0
0.9059,0.0
0.9109,0.0
0.9159,0.0
0.9209,0.0
0.9259,0.0
0.9309,0.0
0.9359,0.0
0.9409,0.0
0.9459,0.0
0.9509,0.0
0.9559,0.0
0.9609,0.0
0.9659,0.0
0.9709,0.0
0.9759,0.0
0.9809,0.0
0.9859,0.0
0.9908,0.0
0.9958,0.0
1.0008,0.0
1.0058,0.0
1.0108,0.0
1.0158,0.0
1.0208,0.0
1.0258,0.0
1.0308,0.0
1.0358,0.0
1.0408,0.0
1.0458,0.0
1.0508,0.0
1.0558,0.0
1.0608,0.0
1.0658,0.0
1.0708,0.0
1.0758,0.0
1.0808,0.0
1.0858,0.0
1.0908,0.0
1.0958,0.0
1.1008,0.0
1.1058,0.0
1.1108,0.0
1.1158,0.0
1.1208,0.0
1.1258,0.0
1.1308,0.0
1.1358,0.0
1.1408,0.0
1.1458,0.0
1.1508,0.0
1.1558,0.0
1.1608,0.0
1.1658,0.0
1.1708,0.0
1.1758,0.0
1.1808,0.0
1.1858,0.0
1.1908,0.0
1.1958,0.0
1.2008,0.0
1.2058,0.0
1.2108,0.0
1.2158,0.0
1.2208,0.0
1.2258,0.0
1.2308,0.0
1.2358,0.0
1.2458,0.0
1.2508,0.0
1.2558,0.0
1.2608,0.0
1.2658,0.0
1.2708,0.0
1.2758,0.0
1.2808,0.0
1.2858,0.0
1.2908,0.0
1.2958,0.0
1.3008,0.0
1.3058,0.0
1.3108,0.0
1.3158,0.0
1.3208,0.0
1.3258,0.0
1.3308,0.0
1.3358,0.0
1.3408,0.0
1.3458,0.0
1.3508,0.0
1.3558,0.0
1.3608,0.0
1.3658,0.0
1.3708,0.0
