px,py
0.0739,0.0
0.1281,0.0
0.3471,0.0
0.8559,0.0
1.2358,0.0
3.7508,0.0
3.8658,0.0
4.0108,0.0
4.3158,0.0
4.5708,0.0
4.8658,0.0
5.2858,0.0
5.7158,0.0
5.7708,0.0
6.4508,0.0
6.5158,0.0
7.0308,0.0
7.1658,0.0
7.4358,0.0
7.6358,0.0
8.7855,0.0076
9.3411,0.2504
9.4866,0.4013
9.6973,0.8763
9.6981,0.8812
9.7088,1.4504
9.7056,1.8254
9.7039,2.0254
9.696,2.9404
9.6953,3.0204
9.691,3.5153
9.6908,3.5453
9.6887,3.7803
9.6887,3.7853
9.6697,5.9952
9.6672,6.2802
9.665,6.5352
9.6614,6.9502
9.4323,8.1347
9.0884,8.4195
8.7468,8.5277
8.5573,8.5363
8.2884,8.5125
7.8299,8.5166
7.2129,8.5776
6.1893,8.6272
6.0744,8.6318
4.1759,8.7074
4.1259,8.7094
3.7412,8.7247
2.8319,8.7609
1.2532,8.8237
-0.4288,8.7906
-0.5435,8.7819
-2.0434,8.7814
-2.2234,8.7818
-2.2534,8.7818
-2.8584,8.7829
-3.1934,8.7835
-3.5084,8.783999999999999
-5.3184,8.7872
-8.0384,8.7921
-8.6734,8.7932
-9.6334,8.7949
-9.6834,8.795
-10.5684,8.7966
-10.6784,8.7968
-11.9984,8.7991
-12.9985,8.6993
-13.1457,8.6147
-13.3023,8.4828
-13.5475,8.0807
-13.5506,8.0712
-13.5561,6.4423
-13.5506,6.2874
-13.5499,6.2674
-13.5423,6.0526
-13.5384,5.9426
-13.5328,5.7827
-13.5163,5.318
-13.5538,4.4639999999999995
-13.5722,4.1095
-13.5886,3.795
-13.5896,3.775
-13.6211,3.1708
-13.6982,1.6878
-13.7096,1.4681
-13.7169,1.3283
-13.7172,1.3233
-13.2,0.1364
-13.0649,0.0715
-12.5393,-0.0046
-12.1693,-0.0101
-11.6616,-0.0569
-11.4375,-0.0763
-11.1526,-0.0833
-11.0176,-0.0866
-10.5877,-0.0971
-9.583,-0.1215
-6.0641,-0.2072
